ticker,isin,name,currency,sector,country
RU000A1033Z8,RU000A1033Z8,Москва 74,RUB,Municipal,Россия
RU000A10D9K0,RU000A10D9K0,Авто Финанс Банк БО-001Р-16,RUB,Financial,Россия
RU000A10CU89,RU000A10CU89,Селектел 001P-06R,RUB,IT,Россия
RU000A10BK09,RU000A10BK09,Газпром нефть БО 003P-14R,RUB,Energy,Россия
RU000A107TT9,RU000A107TT9,ГТЛК БО 002P-03,RUB,Financial,Россия
RU000A107W55,RU000A107W55,Банк ВТБ Б-1-351,RUB,Financial,Россия
RU000A109PP1,RU000A109PP1,АБЗ-1 002Р-01,RUB,Industrials,Россия
RU000A10CSD0,RU000A10CSD0,РУСАЛ БО-001Р-15,RUB,Materials,Россия
RU000A10A4S7,RU000A10A4S7,ФосАгро БО-02-01,RUB,Materials,Россия
RU000A1094F2,RU000A1094F2,Группа Черкизово БО-001Р-07,RUB,Consumer,Россия
RU000A107WL0,RU000A107WL0,ИКС 5 Финанс 003P-04,RUB,Financial,Россия
RU000A105JH9,RU000A105JH9,Газпром капитал ЗО27-2-Д,RUB,Energy,Россия
RU000A10AYF7,RU000A10AYF7,Новые Технологии 001Р-04,RUB,Materials,Россия
RU000A10D1W2,RU000A10D1W2,МегаФон БО-002Р-10,RUB,Telecom,Россия
RU000A103QK3,RU000A103QK3,Мэйл.Ру Финанс 001P-01,RUB,IT,Россия
RU000A10C5K9,RU000A10C5K9,Селигдар 001Р-05,RUB,Materials,
RU000A10AXW4,RU000A10AXW4,СИБУР Холдинг 001Р-03 USD,RUB,Energy,Россия
RU000A10BT34,RU000A10BT34,Россети БО 001P-17R,RUB,Utilities,Россия
RU000A109ZQ8,RU000A109ZQ8,Россети БО 001P-14R,RUB,Utilities,Россия
RU000A109KX6,RU000A109KX6,ВИС ФИНАНС БО-П06,RUB,Financial,Россия
RU000A10ASB8,RU000A10ASB8,Россети БО 001P-15R,RUB,Utilities,Россия
SU29023RMFS7,RU000A105L19,ОФЗ 29023,RUB,Government,Россия
RU000A109L72,RU000A109L72,Республика Саха (Якутия) 35016,RUB,Municipal,Россия
RU000A0JX1S1,RU000A0JX1S1,РЖД 41,RUB,Industrials,Россия
RU000A1082X0,RU000A1082X0,Группа ЛСР БО 001Р-09,RUB,RealEstate,Россия
RU000A10AHA3,RU000A10AHA3,ИКС 5 Финанс 003P-07,RUB,Financial,Россия
RU000A10FAN0,RU000A10FAN0,АЛРОСА 002P-02,RUB,Materials,Россия
SIBN6P4,RU000A10CLE3,Газпром Нефть 006Р-04,RUB,Energy,Россия
SU29013RMFS8,RU000A101KT1,ОФЗ 29013,RUB,Government,Россия
RU000A101RT6,RU000A101RT6,Республика Казахстан 05,RUB,Government,Казахстан
RU000A108DE3,RU000A108DE3,ГТЛК БО 001P-21,RUB,Financial,Россия
RU000A106SP1,RU000A106SP1,ХК Новотранс 001P-04,RUB,Industrials,Россия
RU000A10DWQ2,RU000A10DWQ2,Томская область 34076,RUB,Municipal,Россия
RU000A104Y15,RU000A104Y15,НоваБев Групп 002P БО-П05,RUB,Consumer,Россия
RU000A104V75,RU000A104V75,Почта России БО-002P-01,RUB,Other,Россия
RU000A10DEN7,RU000A10DEN7,Томская область 34075,RUB,Municipal,Россия
RU000A1083U4,RU000A1083U4,МТС 002P-04,RUB,Telecom,Россия
RU000A102QP4,RU000A102QP4,РЖД БО 001Р-21R,RUB,Industrials,Россия
RU000A10DNX7,RU000A10DNX7,СФО Сплит Финанс ПВ-2,RUB,Financial,Россия
RU000A10DZW3,RU000A10DZW3,РЖД БО 001P-50R,RUB,Industrials,Россия
RU000A10C6W2,RU000A10C6W2,Абрау-Дюрсо 002P-01,RUB,Consumer,Россия
RU000A10CC99,RU000A10CC99,МБЭС 002P-04,RUB,Financial,Россия
SU29028RMFS6,RU000A10D4Z9,ОФЗ 29028,RUB,Government,Россия
RU000A10D4D6,RU000A10D4D6,Минфин Амурской области 31002,RUB,Municipal,Россия
RU000A10F8T1,RU000A10F8T1,Ростелеком 003P-01,RUB,Telecom,Россия
RU000A1043K9,RU000A1043K9,Нижегородская область 35016,RUB,Municipal,Россия
RU000A10BQR6,RU000A10BQR6,СФО СБ Секьюритизация 2 А,RUB,Financial,
RU000A10DLP7,RU000A10DLP7,Депфин Югры 34002,RUB,Municipal,Россия
RU000A10BP79,RU000A10BP79,МТС 002P-11,RUB,Telecom,Россия
RU000A10E7G1,RU000A10E7G1,НоваБев Групп 003Р-02,RUB,Consumer,Россия
RU000A10BSL5,RU000A10BSL5,Ростелеком 001P-17R,RUB,Telecom,
RU000A106G56,RU000A106G56,ФосАгро ЗО28-Д,RUB,Materials,Россия
RU000A10BTA6,RU000A10BTA6,РЖД БО 001P-43R,RUB,Industrials,Россия
RU000A10BJ85,RU000A10BJ85,МТС Банк 001P-05,RUB,Telecom,Россия
RU000A108G05,RU000A108G05,ЕвразХолдинг Финанс 003P-01,RUB,Materials,Россия
RU000A103EZ7,RU000A103EZ7,Ростелеком 002P-06R,RUB,Telecom,Россия
RU000A107EC7,RU000A107EC7,Россети Ленэнерго 001P-01,RUB,Utilities,Россия
RU000A106PW3,RU000A106PW3,Новые Технологии БO-02,RUB,Materials,Россия
RU000A10EYW4,RU000A10EYW4,ПГК 003Р-05,RUB,Industrials,Россия
RU000A10EMG2,RU000A10EMG2,НоваБев Групп 003Р-03,RUB,Consumer,Россия
RU000A10ECK5,RU000A10ECK5,СИБУР Холдинг 001Р-09,RUB,Energy,Россия
RU000A10B8M0,RU000A10B8M0,Сэтл Групп БО 002P-04,RUB,RealEstate,Россия
RU000A10F8N4,RU000A10F8N4,МТС 003Р-02,RUB,Telecom,Россия
SU52005RMFS4,RU000A105XV1,ОФЗ 52005,RUB,Government,Россия
RU000A10BBD8,RU000A10BBD8,ЯТЭК 001Р-06,RUB,Energy,Россия
RU000A10CT33,RU000A10CT33,Атомэнергопром 001Р-08,RUB,Energy,Россия
SU29019RMFS5,RU000A102A49,ОФЗ 29019,RUB,Government,Россия
RU000A1084B2,RU000A1084B2,Сэтл Групп БО 002P-03,RUB,RealEstate,Россия
RU000A10CSQ2,RU000A10CSQ2,НоваБев Групп 003Р-01,RUB,Consumer,Россия
RU000A10E291,RU000A10E291,ГК Азот 001Р-01,RUB,Other,Россия
RU000A10BY45,RU000A10BY45,Новые Технологии 001Р-07,RUB,Materials,
RU000A1082W2,RU000A1082W2,Новые Технологии БO-03,RUB,Materials,Россия
RU000A10EML2,RU000A10EML2,ВТБ Лизинг 001Р-МБ-05,RUB,Financial,Россия
RU000A10B3Z3,RU000A10B3Z3,ЕвразХолдинг Финанс 003P-03,RUB,Materials,Россия
RU000A1069N8,RU000A1069N8,ГМК Норникель БО-09,RUB,Materials,Россия
RU000A106672,RU000A106672,Газпром капитал БО-001Р-05,RUB,Energy,Россия
RU000A10DBA0,RU000A10DBA0,СФО ГПБ-СПК А2,RUB,Other,Россия
RU000A10F728,RU000A10F728,Газпром капитал БО-003Р-22,RUB,Energy,Россия
RU000A1099A2,RU000A1099A2,НоваБев Групп 002P БО-П07,RUB,Consumer,Россия
RU000A107CG2,RU000A107CG2,Россети БО 001P-11R,RUB,Utilities,Россия
RU000A1090K0,RU000A1090K0,Магнит БО-004Р-06,RUB,Consumer,Россия
RU000A10C0X3,RU000A10C0X3,Эн+ Гидро 001РС-07,RUB,Energy,
RU000A102CT6,RU000A102CT6,Свердловская область 35009,RUB,Municipal,Россия
RU000A10D7Z2,RU000A10D7Z2,МСП Факторинг 001Р-01,RUB,Financial,Россия
RU000A10CMQ5,RU000A10CMQ5,Новые Технологии 001Р-08,RUB,Materials,Россия
